Category: All categories

Month,data science: (United States)
2004-01,11
2004-02,9
2004-03,10
2004-04,7
2004-05,5
2004-06,5
2004-07,6
2004-08,6
2004-09,9
2004-10,8
2004-11,8
2004-12,7
2005-01,9
2005-02,8
2005-03,6
2005-04,7
2005-05,7
2005-06,5
2005-07,5
2005-08,6
2005-09,8
2005-10,7
2005-11,7
2005-12,5
2006-01,7
2006-02,7
2006-03,6
2006-04,6
2006-05,5
2006-06,4
2006-07,4
2006-08,4
2006-09,6
2006-10,6
2006-11,5
2006-12,5
2007-01,6
2007-02,6
2007-03,6
2007-04,5
2007-05,5
2007-06,3
2007-07,4
2007-08,5
2007-09,6
2007-10,6
2007-11,6
2007-12,5
2008-01,6
2008-02,7
2008-03,5
2008-04,6
2008-05,5
2008-06,4
2008-07,3
2008-08,4
2008-09,7
2008-10,7
2008-11,7
2008-12,5
2009-01,6
2009-02,6
2009-03,6
2009-04,6
2009-05,5
2009-06,4
2009-07,3
2009-08,5
2009-09,8
2009-10,7
2009-11,7
2009-12,6
2010-01,8
2010-02,7
2010-03,6
2010-04,6
2010-05,5
2010-06,4
2010-07,3
2010-08,5
2010-09,7
2010-10,6
2010-11,6
2010-12,6
2011-01,8
2011-02,7
2011-03,6
2011-04,6
2011-05,6
2011-06,4
2011-07,4
2011-08,6
2011-09,9
2011-10,7
2011-11,7
2011-12,6
2012-01,8
2012-02,7
2012-03,6
2012-04,7
2012-05,6
2012-06,5
2012-07,4
2012-08,8
2012-09,13
2012-10,9
2012-11,9
2012-12,7
2013-01,10
2013-02,9
2013-03,9
2013-04,10
2013-05,10
2013-06,8
2013-07,7
2013-08,12
2013-09,17
2013-10,14
2013-11,14
2013-12,12
2014-01,16
2014-02,16
2014-03,15
2014-04,16
2014-05,16
2014-06,14
2014-07,14
2014-08,20
2014-09,25
2014-10,22
2014-11,20
2014-12,18
2015-01,23
2015-02,22
2015-03,22
2015-04,22
2015-05,24
2015-06,22
2015-07,21
2015-08,29
2015-09,35
2015-10,30
2015-11,27
2015-12,24
2016-01,29
2016-02,29
2016-03,28
2016-04,32
2016-05,28
2016-06,24
2016-07,25
2016-08,32
2016-09,41
2016-10,36
2016-11,36
2016-12,33
2017-01,44
2017-02,47
2017-03,45
2017-04,44
2017-05,43
2017-06,40
2017-07,39
2017-08,47
2017-09,55
2017-10,51
2017-11,47
2017-12,41
2018-01,53
2018-02,54
2018-03,53
2018-04,51
2018-05,52
2018-06,46
2018-07,48
2018-08,58
2018-09,64
2018-10,63
2018-11,57
2018-12,49
2019-01,64
2019-02,63
2019-03,61
2019-04,63
2019-05,57
2019-06,57
2019-07,55
2019-08,66
2019-09,76
2019-10,71
2019-11,65
2019-12,55
2020-01,69
2020-02,71
2020-03,57
2020-04,61
2020-05,62
2020-06,60
2020-07,63
2020-08,66
2020-09,83
2020-10,60
2020-11,47
2020-12,49
2021-01,51
2021-02,52
2021-03,50
2021-04,53
2021-05,53
2021-06,48
2021-07,48
2021-08,52
2021-09,63
2021-10,65
2021-11,66
2021-12,60
2022-01,77
2022-02,81
2022-03,86
2022-04,90
2022-05,73
2022-06,66
2022-07,63
2022-08,79
2022-09,92
2022-10,85
2022-11,79
2022-12,69
2023-01,87
2023-02,82
2023-03,78
2023-04,77
2023-05,72
2023-06,64
2023-07,62
2023-08,83
2023-09,96
2023-10,93
2023-11,83
2023-12,72
2024-01,89
2024-02,91
2024-03,91
2024-04,91
2024-05,78
2024-06,72
2024-07,65
2024-08,90
2024-09,100
2024-10,95
2024-11,86
2024-12,79
2025-01,92
2025-02,93
2025-03,92
2025-04,94
2025-05,87
2025-06,78
